locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNHBCBPK_00049	CDS	1260	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
HNHBCBPK_00050	CDS	540	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
HNHBCBPK_00051	CDS	2028	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
HNHBCBPK_00052	CDS	1383	yhdG		COG0531	putative amino acid permease YhdG
HNHBCBPK_00053	CDS	891				hypothetical protein
HNHBCBPK_00054	CDS	897				hypothetical protein
HNHBCBPK_00055	CDS	1755	aspS_1	6.1.1.12		Aspartate--tRNA ligase
HNHBCBPK_00056	CDS	1290	hisS	6.1.1.21		Histidine--tRNA ligase
HNHBCBPK_00057	CDS	282				Potassium channel
HNHBCBPK_00058	CDS	171	rpmF		COG0333	50S ribosomal protein L32
HNHBCBPK_00059	CDS	150	rpmGA_1			50S ribosomal protein L33 1
HNHBCBPK_00060	CDS	444				hypothetical protein
HNHBCBPK_00061	CDS	726				hypothetical protein
HNHBCBPK_00062	CDS	606	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
HNHBCBPK_00063	CDS	105				hypothetical protein
HNHBCBPK_00064	CDS	336				hypothetical protein
HNHBCBPK_00065	CDS	933				hypothetical protein
HNHBCBPK_00066	CDS	882				hypothetical protein
HNHBCBPK_00067	CDS	819				hypothetical protein
HNHBCBPK_00068	CDS	189				hypothetical protein
HNHBCBPK_00069	CDS	1950				hypothetical protein
HNHBCBPK_00070	CDS	1056				hypothetical protein
HNHBCBPK_00071	CDS	762	glnQ_1			Glutamine transport ATP-binding protein GlnQ
HNHBCBPK_00072	CDS	822	phnE		COG3639	Phosphate-import permease protein PhnE
HNHBCBPK_00073	CDS	828				hypothetical protein
HNHBCBPK_00074	CDS	1407				hypothetical protein
HNHBCBPK_00075	CDS	243	acpP_1		COG0236	Acyl carrier protein
HNHBCBPK_00076	CDS	1014	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
HNHBCBPK_00077	CDS	801	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
HNHBCBPK_00078	CDS	1623	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
HNHBCBPK_00079	CDS	1470	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
HNHBCBPK_00080	CDS	1215				hypothetical protein
HNHBCBPK_00081	CDS	240	dltC		COG0236	D-alanyl carrier protein
HNHBCBPK_00082	CDS	1284	dltD		COG3966	Protein DltD
HNHBCBPK_00083	CDS	714				hypothetical protein
HNHBCBPK_00084	CDS	414				hypothetical protein
HNHBCBPK_00085	CDS	594	spsB_1	3.4.21.89		Signal peptidase IB
HNHBCBPK_00086	CDS	1029	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
HNHBCBPK_00087	CDS	1317				hypothetical protein
HNHBCBPK_00088	CDS	639				hypothetical protein
HNHBCBPK_00089	CDS	867	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
HNHBCBPK_00090	CDS	801	recO		COG1381	DNA repair protein RecO
HNHBCBPK_00091	CDS	1173	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
HNHBCBPK_00092	tRNA	75				tRNA-Glu(ttc)
HNHBCBPK_00093	tRNA	74				tRNA-Glu(ttc)
HNHBCBPK_00094	tRNA	74				tRNA-Lys(ctt)
HNHBCBPK_00095	CDS	687	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
HNHBCBPK_00096	CDS	753	ugpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
HNHBCBPK_00097	CDS	1287	yihN			Inner membrane protein YihN
HNHBCBPK_00098	CDS	1452	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
HNHBCBPK_00099	CDS	681				hypothetical protein
HNHBCBPK_00100	CDS	525				hypothetical protein
HNHBCBPK_00101	CDS	276				hypothetical protein
HNHBCBPK_00102	CDS	567				hypothetical protein
HNHBCBPK_00103	CDS	705				hypothetical protein
HNHBCBPK_00104	CDS	1188				hypothetical protein
HNHBCBPK_00105	CDS	1143		3.2.1.4		Endoglucanase
HNHBCBPK_00106	CDS	1845	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
HNHBCBPK_00107	CDS	1176	dacA_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
HNHBCBPK_00108	CDS	756				hypothetical protein
HNHBCBPK_00109	CDS	687				hypothetical protein
HNHBCBPK_00110	CDS	1002	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
HNHBCBPK_00111	CDS	876	hslO			33 kDa chaperonin
HNHBCBPK_00112	CDS	1290	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HNHBCBPK_00113	CDS	447	rplM			50S ribosomal protein L13
HNHBCBPK_00114	CDS	393	rpsI		COG0103	30S ribosomal protein S9
HNHBCBPK_00115	CDS	732				hypothetical protein
HNHBCBPK_00116	CDS	1269				hypothetical protein
HNHBCBPK_00117	CDS	1491	sau3AIR	3.1.21.4		Type-2 restriction enzyme Sau3AI
HNHBCBPK_00118	CDS	687				hypothetical protein
HNHBCBPK_00119	CDS	1011				hypothetical protein
HNHBCBPK_00120	CDS	1521				hypothetical protein
HNHBCBPK_00121	CDS	924	gtf3	2.4.1.-		Glucosyltransferase 3
HNHBCBPK_00122	CDS	381	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
HNHBCBPK_00123	CDS	969	glcK	2.7.1.2	COG1940	Glucokinase
HNHBCBPK_00124	CDS	219	yqgQ		COG4483	putative protein YqgQ
HNHBCBPK_00125	CDS	462	dps	1.16.-.-	COG0783	DNA protection during starvation protein
HNHBCBPK_00126	CDS	651				hypothetical protein
HNHBCBPK_00127	CDS	1065	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
HNHBCBPK_00128	CDS	2310	pflB	2.3.1.54		Formate acetyltransferase
HNHBCBPK_00129	CDS	834	mapP	3.1.3.90		Maltose 6'-phosphate phosphatase
HNHBCBPK_00130	CDS	2181	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
HNHBCBPK_00131	CDS	963	mro	5.1.3.3	COG2017	Aldose 1-epimerase
HNHBCBPK_00132	CDS	882	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
HNHBCBPK_00133	CDS	171				hypothetical protein
HNHBCBPK_00134	CDS	1932	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
HNHBCBPK_00135	CDS	510				hypothetical protein
HNHBCBPK_00136	CDS	387				hypothetical protein
HNHBCBPK_00137	CDS	1341	mntH			Divalent metal cation transporter MntH
HNHBCBPK_00138	CDS	603				hypothetical protein
HNHBCBPK_00139	CDS	264				hypothetical protein
HNHBCBPK_00140	CDS	429				hypothetical protein
HNHBCBPK_00141	CDS	666				hypothetical protein
HNHBCBPK_00142	CDS	1530	ahpF	1.6.99.3		NADH dehydrogenase
HNHBCBPK_00143	CDS	561	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
HNHBCBPK_00144	CDS	1062	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
HNHBCBPK_00145	CDS	732				hypothetical protein
HNHBCBPK_00146	CDS	1344				hypothetical protein
HNHBCBPK_00147	CDS	318				hypothetical protein
HNHBCBPK_00148	CDS	366				hypothetical protein
HNHBCBPK_00149	CDS	1359				hypothetical protein
HNHBCBPK_00150	CDS	366				hypothetical protein
HNHBCBPK_00151	CDS	552	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
HNHBCBPK_00152	CDS	816				hypothetical protein
HNHBCBPK_00153	CDS	1089	ylbL		COG3480	putative protein YlbL
HNHBCBPK_00154	CDS	489	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
HNHBCBPK_00155	CDS	603	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
HNHBCBPK_00156	CDS	516				hypothetical protein
HNHBCBPK_00157	CDS	528				hypothetical protein
HNHBCBPK_00158	CDS	2880	uvrB_1			UvrABC system protein B
HNHBCBPK_00159	CDS	837				hypothetical protein
HNHBCBPK_00160	CDS	147				hypothetical protein
HNHBCBPK_00161	CDS	216				hypothetical protein
HNHBCBPK_00162	CDS	189				hypothetical protein
HNHBCBPK_00163	CDS	159				hypothetical protein
HNHBCBPK_00164	CDS	2655	valS	6.1.1.9	COG0525	Valine--tRNA ligase
HNHBCBPK_00165	CDS	567				hypothetical protein
HNHBCBPK_00166	CDS	522				hypothetical protein
HNHBCBPK_00167	CDS	315				hypothetical protein
HNHBCBPK_00168	CDS	255				hypothetical protein
HNHBCBPK_00169	CDS	522				hypothetical protein
HNHBCBPK_00170	CDS	885	yicL		COG0697	putative inner membrane transporter YicL
HNHBCBPK_00171	CDS	1356	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
HNHBCBPK_00172	CDS	780	gdh_1	1.1.1.47	COG1028	Glucose 1-dehydrogenase
HNHBCBPK_00173	CDS	609				hypothetical protein
HNHBCBPK_00174	CDS	1065	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
HNHBCBPK_00175	CDS	1338	noxE	1.6.99.3	COG0446	NADH oxidase
HNHBCBPK_00176	CDS	342				hypothetical protein
HNHBCBPK_00177	CDS	294				hypothetical protein
HNHBCBPK_00178	CDS	93				hypothetical protein
HNHBCBPK_00179	CDS	318				hypothetical protein
HNHBCBPK_00180	CDS	201				hypothetical protein
HNHBCBPK_00181	CDS	834	recX			Regulatory protein RecX
HNHBCBPK_00182	CDS	705	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
HNHBCBPK_00183	CDS	309				hypothetical protein
HNHBCBPK_00184	CDS	246	rpsR		COG0238	30S ribosomal protein S18
HNHBCBPK_00185	CDS	507	ssb_1		COG0629	Single-stranded DNA-binding protein
HNHBCBPK_00186	CDS	294	rpsF		COG0360	30S ribosomal protein S6
HNHBCBPK_00187	CDS	834	uppP	3.6.1.27		Undecaprenyl-diphosphatase
HNHBCBPK_00188	CDS	1563	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
HNHBCBPK_00189	CDS	738	glnQ_2			Glutamine transport ATP-binding protein GlnQ
HNHBCBPK_00190	CDS	300				hypothetical protein
HNHBCBPK_00191	CDS	1767				hypothetical protein
HNHBCBPK_00192	CDS	1695				hypothetical protein
HNHBCBPK_00193	CDS	495	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
HNHBCBPK_00194	CDS	270				hypothetical protein
HNHBCBPK_00195	CDS	1191	eriC_1		COG0038	Chloride/fluoride channel protein
HNHBCBPK_00196	CDS	1215	eriC_2		COG0038	Chloride/fluoride channel protein
HNHBCBPK_00197	CDS	1455	gltB	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
HNHBCBPK_00198	CDS	4515	gltA	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
HNHBCBPK_00199	CDS	1341	glnA	6.3.1.2	COG0174	Glutamine synthetase
HNHBCBPK_00200	CDS	378	glnR		COG0789	HTH-type transcriptional regulator GlnR
HNHBCBPK_00201	CDS	438				hypothetical protein
HNHBCBPK_00202	CDS	2586				hypothetical protein
HNHBCBPK_00203	CDS	291				hypothetical protein
HNHBCBPK_00204	CDS	963	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HNHBCBPK_00205	CDS	855				hypothetical protein
HNHBCBPK_00206	CDS	1437	rfbX_1		COG2244	Putative O-antigen transporter
HNHBCBPK_00207	CDS	1359				hypothetical protein
HNHBCBPK_00208	CDS	939				hypothetical protein
HNHBCBPK_00209	CDS	1062	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
HNHBCBPK_00210	CDS	726	tarI2	2.7.7.40		Ribitol-5-phosphate cytidylyltransferase 2
HNHBCBPK_00211	CDS	822				hypothetical protein
HNHBCBPK_00212	CDS	1836				hypothetical protein
HNHBCBPK_00213	CDS	345				hypothetical protein
HNHBCBPK_00214	CDS	726		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
HNHBCBPK_00215	CDS	942				hypothetical protein
HNHBCBPK_00216	CDS	1140				hypothetical protein
HNHBCBPK_00217	CDS	834	strL	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
HNHBCBPK_00218	CDS	378				hypothetical protein
HNHBCBPK_00219	CDS	2607	clpB		COG0542	Chaperone protein ClpB
HNHBCBPK_00220	CDS	327				hypothetical protein
HNHBCBPK_00221	CDS	507				hypothetical protein
HNHBCBPK_00222	CDS	1281				hypothetical protein
HNHBCBPK_00223	CDS	1317	citN_1		COG2851	Citrate transporter
HNHBCBPK_00224	CDS	2685	citB	4.2.1.-	COG1048	Aconitate/2-methylaconitate hydratase
HNHBCBPK_00225	CDS	1317	citN_2		COG2851	Citrate transporter
HNHBCBPK_00226	CDS	846				hypothetical protein
HNHBCBPK_00227	CDS	804				hypothetical protein
HNHBCBPK_00228	CDS	1524	ybiT_2		COG0488	putative ABC transporter ATP-binding protein YbiT
HNHBCBPK_00229	CDS	1251	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
HNHBCBPK_00230	CDS	1545	purH			Bifunctional purine biosynthesis protein PurH
HNHBCBPK_00231	CDS	585	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
HNHBCBPK_00232	CDS	1044	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
HNHBCBPK_00233	CDS	1440	purF	2.4.2.14		Amidophosphoribosyltransferase
HNHBCBPK_00234	CDS	2223	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
HNHBCBPK_00235	CDS	687	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
HNHBCBPK_00236	CDS	249	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
HNHBCBPK_00237	CDS	711	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
HNHBCBPK_00238	CDS	1368	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
HNHBCBPK_00239	CDS	855				hypothetical protein
HNHBCBPK_00240	CDS	1122	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
HNHBCBPK_00241	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
HNHBCBPK_00242	CDS	144				hypothetical protein
HNHBCBPK_00243	CDS	384	hit_1		COG0537	Protein hit
HNHBCBPK_00244	CDS	888	drrA	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
HNHBCBPK_00245	CDS	846				hypothetical protein
HNHBCBPK_00246	CDS	453				hypothetical protein
HNHBCBPK_00247	CDS	393				hypothetical protein
HNHBCBPK_00248	CDS	960				hypothetical protein
HNHBCBPK_00249	CDS	276				hypothetical protein
HNHBCBPK_00250	CDS	426				hypothetical protein
HNHBCBPK_00251	CDS	378				hypothetical protein
HNHBCBPK_00252	CDS	1263				hypothetical protein
HNHBCBPK_00253	CDS	795				hypothetical protein
HNHBCBPK_00254	CDS	1122	thiO	1.4.3.19		Glycine oxidase
HNHBCBPK_00255	CDS	861	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
HNHBCBPK_00256	CDS	1350	gdh_2	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
HNHBCBPK_00257	CDS	1911	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
HNHBCBPK_00258	CDS	543	bioY		COG1268	Biotin transporter BioY
HNHBCBPK_00259	CDS	1464	bmr3			Multidrug resistance protein 3
HNHBCBPK_00260	CDS	240				hypothetical protein
HNHBCBPK_00261	CDS	564				hypothetical protein
HNHBCBPK_00262	CDS	501				hypothetical protein
HNHBCBPK_00263	CDS	612	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
HNHBCBPK_00264	CDS	489				hypothetical protein
HNHBCBPK_00265	CDS	258				hypothetical protein
HNHBCBPK_00266	CDS	486				hypothetical protein
HNHBCBPK_00267	CDS	516	tmrB			Tunicamycin resistance protein
HNHBCBPK_00268	CDS	2214				hypothetical protein
HNHBCBPK_00269	CDS	2604	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
HNHBCBPK_00270	CDS	807				hypothetical protein
HNHBCBPK_00271	CDS	411				hypothetical protein
HNHBCBPK_00272	CDS	324				hypothetical protein
HNHBCBPK_00273	CDS	1071				hypothetical protein
HNHBCBPK_00274	CDS	1566				hypothetical protein
HNHBCBPK_00275	CDS	819				hypothetical protein
HNHBCBPK_00276	CDS	600				hypothetical protein
HNHBCBPK_00277	CDS	180				hypothetical protein
HNHBCBPK_00278	CDS	669				hypothetical protein
HNHBCBPK_00279	CDS	417				hypothetical protein
HNHBCBPK_00280	CDS	1023				hypothetical protein
HNHBCBPK_00281	CDS	609				hypothetical protein
HNHBCBPK_00282	CDS	174				hypothetical protein
HNHBCBPK_00283	CDS	636				hypothetical protein
HNHBCBPK_00284	CDS	330				hypothetical protein
HNHBCBPK_00285	CDS	363	arnE_1			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
HNHBCBPK_00286	CDS	378	arnE_2			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
HNHBCBPK_00287	CDS	990				hypothetical protein
HNHBCBPK_00288	CDS	1311	fpgS	6.3.2.17		Folylpolyglutamate synthase
HNHBCBPK_00289	CDS	1188				hypothetical protein
HNHBCBPK_00290	CDS	519				hypothetical protein
HNHBCBPK_00291	CDS	552	chrR	1.6.5.2	COG0431	Quinone reductase
HNHBCBPK_00292	CDS	150				hypothetical protein
HNHBCBPK_00293	CDS	774				hypothetical protein
HNHBCBPK_00294	CDS	1455		2.4.1.7		Sucrose phosphorylase
HNHBCBPK_00295	CDS	1797	nanK	2.7.1.60		N-acetylmannosamine kinase
HNHBCBPK_00296	CDS	963				hypothetical protein
HNHBCBPK_00297	CDS	327				hypothetical protein
HNHBCBPK_00298	CDS	1776				hypothetical protein
HNHBCBPK_00299	CDS	1272	pyrC	3.5.2.3	COG0044	Dihydroorotase
HNHBCBPK_00300	CDS	630	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
HNHBCBPK_00301	CDS	687	pyrF_1	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
HNHBCBPK_00302	CDS	948	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
HNHBCBPK_00303	CDS	804	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
HNHBCBPK_00304	CDS	3180	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
HNHBCBPK_00305	CDS	1086	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
HNHBCBPK_00306	CDS	954	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
HNHBCBPK_00307	CDS	996	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
HNHBCBPK_00308	CDS	1281	pyrP			Uracil permease
HNHBCBPK_00309	CDS	522	pyrR		COG2065	Bifunctional protein PyrR
HNHBCBPK_00310	CDS	732	aqpZ2			Aquaporin Z 2
HNHBCBPK_00311	CDS	1815	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HNHBCBPK_00312	CDS	897	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
HNHBCBPK_00313	CDS	474	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
HNHBCBPK_00314	CDS	708				hypothetical protein
HNHBCBPK_00315	CDS	1140	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
HNHBCBPK_00316	CDS	90				hypothetical protein
HNHBCBPK_00317	CDS	237				hypothetical protein
HNHBCBPK_00318	CDS	2430	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
HNHBCBPK_00319	CDS	654	ktrA		COG0569	Ktr system potassium uptake protein A
HNHBCBPK_00320	CDS	1332	ntpJ			Potassium/sodium uptake protein NtpJ
HNHBCBPK_00321	CDS	1941	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
HNHBCBPK_00322	CDS	639	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
HNHBCBPK_00323	CDS	222	nrdH_1		COG0695	Glutaredoxin-like protein NrdH
HNHBCBPK_00324	CDS	357	nrdI		COG1780	Protein NrdI
HNHBCBPK_00325	CDS	2157	nrdE2	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 2
HNHBCBPK_00326	CDS	954	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
HNHBCBPK_00327	CDS	648	yrrT	2.1.1.-		putative methyltransferase YrrT
HNHBCBPK_00328	CDS	1146	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
HNHBCBPK_00329	CDS	933	cysM	2.5.1.47	COG0031	Cysteine synthase
HNHBCBPK_00330	CDS	996	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
HNHBCBPK_00331	CDS	2247	pbpX		COG0768	Penicillin-binding protein 2x
HNHBCBPK_00332	CDS	378	ftsL			Cell division protein FtsL
HNHBCBPK_00333	CDS	945	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
HNHBCBPK_00334	CDS	204				hypothetical protein
HNHBCBPK_00335	CDS	1668	recN		COG0497	DNA repair protein RecN
HNHBCBPK_00336	CDS	426	argR_1			Arginine repressor
HNHBCBPK_00337	CDS	819	tlyA		COG1189	Hemolysin A
HNHBCBPK_00338	CDS	879		2.5.1.10		Farnesyl diphosphate synthase
HNHBCBPK_00339	CDS	225	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
HNHBCBPK_00340	CDS	1326	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
HNHBCBPK_00341	CDS	849	folD		COG0190	Bifunctional protein FolD protein
HNHBCBPK_00342	CDS	1116	alr	5.1.1.1	COG0787	Alanine racemase
HNHBCBPK_00343	CDS	378	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
HNHBCBPK_00344	CDS	720	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
HNHBCBPK_00345	CDS	585	scpB			Segregation and condensation protein B
HNHBCBPK_00346	CDS	744	scpA			Segregation and condensation protein A
HNHBCBPK_00347	CDS	741	ynbA		COG0582	Tyrosine recombinase XerD-like protein
HNHBCBPK_00348	CDS	486				hypothetical protein
HNHBCBPK_00349	CDS	516				hypothetical protein
HNHBCBPK_00350	CDS	1011		3.6.1.66		dITP/XTP pyrophosphatase
HNHBCBPK_00351	CDS	792	murI_1	5.1.1.3	COG0796	Glutamate racemase
HNHBCBPK_00352	CDS	237				hypothetical protein
HNHBCBPK_00353	CDS	1254	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
HNHBCBPK_00354	CDS	1443				hypothetical protein
HNHBCBPK_00355	CDS	630	spsB_2	3.4.21.89		Signal peptidase IB
HNHBCBPK_00356	tRNA	74				tRNA-Gln(ttg)
HNHBCBPK_00357	tRNA	83				tRNA-Tyr(gta)
HNHBCBPK_00358	CDS	204				hypothetical protein
HNHBCBPK_00359	CDS	1020	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
HNHBCBPK_00360	CDS	831	ykuT		COG0668	putative MscS family protein YkuT
HNHBCBPK_00361	CDS	711	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
HNHBCBPK_00362	CDS	1581	rny	3.1.-.-	COG1418	Ribonuclease Y
HNHBCBPK_00363	CDS	3429	pycA	6.4.1.1		Pyruvate carboxylase
HNHBCBPK_00364	CDS	1191	metK	2.5.1.6		S-adenosylmethionine synthase
HNHBCBPK_00365	CDS	927	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
