Gene	Length in bp	Product	streptococcus_00338	streptococcus_00492	streptococcus_00647	streptococcus_00687	streptococcus_00848	streptococcus_01459	streptococcus_01579	streptococcus_01671	streptococcus_01846	streptococcus_01957	streptococcus_02138	streptococcus_02303	streptococcus_02547	streptococcus_02589	streptococcus_02810	streptococcus_02913	streptococcus_03320	streptococcus_03323	streptococcus_03583	streptococcus_03736	streptococcus_05066	streptococcus_05266	streptococcus_05891	streptococcus_06027	streptococcus_06044	streptococcus_06406	streptococcus_06619	streptococcus_07100	streptococcus_07362	streptococcus_07418	streptococcus_07471	streptococcus_07513	streptococcus_07634	streptococcus_07803	streptococcus_07892	streptococcus_08153	streptococcus_08188	streptococcus_08517	streptococcus_08552	streptococcus_09064	streptococcus_09441	streptococcus_09488	streptococcus_10028	streptococcus_10038	streptococcus_10413	streptococcus_10801	streptococcus_11097	streptococcus_11764	streptococcus_11901
N/A	105-894	IS3 family transposase ISLgar1,IS3 family transposase ISSpl1,IS3 family transposase ISSpn11,IS3 family transposase ISSpn4,hypothetical protein	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1
actP,cadA,copA,copA_1,copA_2,copA_3,copA_4,copA_5,copB,ctpC,ctpC_1,ctpC_2,ctpE,kdpB,pacS,zosA	189-2685	Calcium-transporting ATPase 1,Calcium-transporting ATPase CtpE,Copper-exporting P-type ATPase,Copper-exporting P-type ATPase B,Copper-transporting P-type ATPase,Manganese-exporting P-type ATPase,Potassium-transporting ATPase ATP-binding subunit,Zinc-transporting ATPase,putative cadmium-transporting ATPase,putative copper-importing P-type ATPase A,putative copper-transporting ATPase PacS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mltF,mltF_1,mltF_2,tcyL_1,tcyL_2,yecS,yecS_1,yecS_2,yxeN	336-2166	L-cystine transport system permease protein TcyL,L-cystine transport system permease protein YecS,Membrane-bound lytic murein transglycosylase F,hypothetical protein,putative amino-acid permease protein YxeN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bglH_1,bglH_2,bglH_3,gmuD_1,gmuD_2,lacG,lacG_1,lacG_2,lacG_3	528-1479	6-phospho-beta-galactosidase,6-phospho-beta-glucosidase GmuD,Aryl-phospho-beta-D-glucosidase BglH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
amiA,appA,dppA,dppE,mppA,nikA,oppA,oppA_1,oppA_2,sarA,sarA_1,sarA_2,sarA_3,sarA_4	153-1983	Dipeptide-binding protein DppE,Nickel-binding periplasmic protein,Oligopeptide-binding protein AmiA,Oligopeptide-binding protein AppA,Oligopeptide-binding protein OppA,Oligopeptide-binding protein SarA,Periplasmic dipeptide transport protein,Periplasmic murein peptide-binding protein,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
btuD_9,hlyB,hlyB_1,hlyB_2,lagD,lagD_1,lagD_2,lagD_3,lagD_4,lagD_5,lagD_7,ltxB,yheH_2	237-2292	Alpha-hemolysin translocation ATP-binding protein HlyB,Lactococcin-G-processing and transport ATP-binding protein LagD,Leukotoxin export ATP-binding protein LtxB,Putative multidrug export ATP-binding/permease protein,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative ABC transporter ATP-binding protein,putative ABC transporter ATP-binding/permease protein,putative multidrug resistance ABC transporter ATP-binding/permease protein YheH	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	126-1167	IS30 family transposase IS1252,IS30 family transposase ISSag9,IS30 family transposase ISSeq6,IS30 family transposase ISSpn8,IS30 family transposase ISSpn9,IS30 family transposase ISStin2,hypothetical protein	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
bglA,bglA_1,bglA_2,bglC,bglH,bglH_1,bglH_2,bglH_3,bglH_4,bglH_5,bglH_6,lacG_1	132-1488	6-phospho-beta-galactosidase,6-phospho-beta-glucosidase BglA,Aryl-phospho-beta-D-glucosidase BglA,Aryl-phospho-beta-D-glucosidase BglC,Aryl-phospho-beta-D-glucosidase BglH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	603-1329	hypothetical protein	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
N/A	288-3156	hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
glyD,glyD_1,glyD_2,glyD_3,glyE,glyE_1,glyE_2,glyE_3,glyE_4,glyE_5,gspA,gtfB_1,gtfB_2,gtfB_3	198-3219	General stress protein A,Glycosyltransferase GlyD,Glycosyltransferase GlyE,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase stabilizing protein GtfB	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0
fcl,galE,galE_1,galE_2,lnpD,lnpD_1,lnpD_2,rmlB,wbgU	954-1071	GDP-L-fucose synthase,UDP-N-acetylglucosamine 4-epimerase,UDP-glucose 4-epimerase,dTDP-glucose 4,6-dehydratase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	228-2031	hypothetical protein	1	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
phnU	195-1692	Putative 2-aminoethylphosphonate transport system permease protein PhnU,hypothetical protein	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1
dapA,nanA,nanA_1,nanA_2,nanA_3,nanA_4	96-936	4-hydroxy-tetrahydrodipicolinate synthase,N-acetylneuraminate lyase,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
araQ,araQ_1,araQ_2,araQ_3,ngcG_1,sugB,ycjP	768-855	Diacetylchitobiose uptake system permease protein NgcG,Inner membrane ABC transporter permease protein YcjP,L-arabinose transport system permease protein AraQ,Trehalose transport system permease protein SugB,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	123-1146	IS110 family transposase ISBth13,hypothetical protein	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0
pinR	273-1884	Serine recombinase PinR,hypothetical protein	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1
srtA,strA,strA_1,strA_2	291-918	Sortase A,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glcR,lacR,lacR_1,lacR_2,lacR_3,ulaR	318-810	HTH-type transcriptional regulator UlaR,HTH-type transcriptional repressor GlcR,Lactose phosphotransferase system repressor,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
apxIB,bmrA,btuD_3,lagD_1,lagD_3,lagD_4,ndvA	378-1785	Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,Fatty acid ABC transporter ATP-binding/permease protein,Lactococcin-G-processing and transport ATP-binding protein LagD,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,Toxin RTX-I translocation ATP-binding protein,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative ABC transporter ATP-binding protein,putative ABC transporter ATP-binding/permease protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
bglK,bglK_1,bglK_2,bglK_3	204-939	Beta-glucoside kinase,hypothetical protein	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
glcK,glcK_1,glcK_2,mlc,nagC,nagC_1,nagC_2,nagK,nanK	174-1224	Glucokinase,N-acetyl-D-glucosamine kinase,N-acetylglucosamine repressor,N-acetylmannosamine kinase,Protein mlc,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
yhhT	1095-1191	Putative transport protein,Putative transport protein YhhT,Sodium-lithium/proton antiporter,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
artI,artP,artP_1,artP_2,fliY_1,glnH,glnH_1,glnH_2,hisJ,hisJ_1,hisJ_2,mltF_2,tcyJ,yckB	687-2175	Arginine-binding extracellular protein ArtP,Glutamine-binding periplasmic protein,L-cystine-binding protein FliY,L-cystine-binding protein TcyJ,Membrane-bound lytic murein transglycosylase F,Putative ABC transporter arginine-binding protein 2,putative ABC transporter extracellular-binding protein YckB,putative histidine-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
btuC,fepD,feuB,feuC,fpuB,isdF,yfhA,yfiZ	363-1053	Ferric enterobactin transport system permease protein FepD,Iron-uptake system permease protein FeuB,Iron-uptake system permease protein FeuC,Petrobactin import system permease protein FpuB,Vitamin B12 import system permease protein BtuC,putative heme-iron transport system permease protein IsdF,putative siderophore transport system permease protein YfhA,putative siderophore transport system permease protein YfiZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
yfiC	267-1020	hypothetical protein,tRNA1(Val) (adenine(37)-N6)-methyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
btuD_6,yheI	153-1803	Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative ABC transporter ATP-binding protein,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ybiV,ybiV_1,ybiV_2,ybjI,ybjI_1,ybjI_2	345-840	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,Sugar phosphatase YbiV,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pheT	120-2406	Phenylalanine--tRNA ligase beta subunit,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glgC,gtaB,gtaB_1,gtaB_2,rfbA,rmlA	858-1143	Glucose-1-phosphate adenylyltransferase,Glucose-1-phosphate thymidylyltransferase,Glucose-1-phosphate thymidylyltransferase 1,UTP--glucose-1-phosphate uridylyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dasA	279-1359	Diacetylchitobiose binding protein DasA,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
agrA,agrA_1,agrA_2,agrA_3,agrA_4,ypdB	183-753	Accessory gene regulator protein A,Transcriptional regulatory protein YpdB,hypothetical protein	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	183-1416	hypothetical protein	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
corA	234-945	Cobalt/magnesium transport protein CorA,Magnesium transport protein CorA,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pucK,pyrP,uacT	1173-1326	Uracil permease,Uric acid permease PucK,Uric acid transporter UacT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fpgS,fpgS_1,fpgS_2	1221-1323	Folylpolyglutamate synthase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
msrA,msrAB,msrAB1,msrB	435-1113	Peptide methionine sulfoxide reductase MsrA,Peptide methionine sulfoxide reductase MsrA/MsrB,Peptide methionine sulfoxide reductase MsrA/MsrB 1,Peptide methionine sulfoxide reductase MsrB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ulaC	486-2061	Ascorbate-specific PTS system EIIA component,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N/A	252-534	IS630 family transposase IS630-Spn1,hypothetical protein	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0
pdxK,pdxK_1,thiD	753-807	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,Pyridoxine kinase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lacF,lacF_1,lacF_2,lacF_3,lacF_4,lacF_5,licA,licA_1	315-345	Lichenan-specific phosphotransferase enzyme IIA component,PTS system lactose-specific EIIA component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tcyA,tcyA_1,tcyA_2,tcyJ,yxeM,yxeM_1,yxeM_2	801-855	L-cystine-binding protein TcyA,L-cystine-binding protein TcyJ,putative amino-acid-binding protein YxeM	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gmuR,nagR,treR,treR_1,treR_2	699-729	HTH-type transcriptional regulator GmuR,HTH-type transcriptional regulator TreR,HTH-type transcriptional repressor NagR	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pstC,pstC1,pstC2	366-972	Phosphate transport system permease protein PstC,Phosphate transport system permease protein PstC 1,Phosphate transport system permease protein PstC 2,hypothetical protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aroF,aroF_1,aroF_2,aroG,aroH	789-1038	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive,Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive,Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
pstB3_1,pstB3_2,pstB3_3	750-804	Phosphate import ATP-binding protein PstB 3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bmrA,bmrA_1,btuD_2,btuD_6,btuD_9,fetA,msbA,msbA_1,msbA_2	120-1770	Fatty acid ABC transporter ATP-binding/permease protein,Lipid A export ATP-binding/permease protein MsbA,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,Vitamin B12 import ATP-binding protein BtuD,hypothetical protein,putative ABC transporter ATP-binding protein,putative iron export ATP-binding protein FetA	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
adh,adh_1,adh_2,adh_3,tdh	456-1092	Alcohol dehydrogenase,L-threonine 3-dehydrogenase,NADP-dependent isopropanol dehydrogenase,putative zinc-binding alcohol dehydrogenase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ribD,tadA,tadA_1,tadA_2	468-1110	Riboflavin biosynthesis protein RibD,tRNA-specific adenosine deaminase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pcp,pcp_1,pcp_2,pcp_3	213-648	Pyrrolidone-carboxylate peptidase	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0
alsS,ilvB,pox5	1677-1776	Acetolactate synthase,Acetolactate synthase large subunit,Pyruvate oxidase	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
